Neighbourhood,Neighbourhood Number,Question Type,Gender,Age Range,Year,Value,Ward
Abbottsfield,2010,Age & Gender,Men+,0 to 4 years,2021,85,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,0 to 14 years,2021,235,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,5 to 9 years,2021,80,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,10 to 14 years,2021,65,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,15 to 19 years,2021,60,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,15 to 64 years,2021,510,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,20 to 24 years,2021,50,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,25 to 29 years,2021,55,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,30 to 34 years,2021,65,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,35 to 39 years,2021,75,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,40 to 44 years,2021,65,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,45 to 49 years,2021,40,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,50 to 54 years,2021,35,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,55 to 59 years,2021,35,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,60 to 64 years,2021,25,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,65 to 69 years,2021,30,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,65 years and over,2021,65,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,70 to 74 years,2021,15,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,75 to 79 years,2021,10,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,80 to 84 years,2021,5,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,85 to 89 years,2021,0,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,85 years and over,2021,0,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,90 to 94 years,2021,0,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,95 to 99 years,2021,0,Métis Ward
Abbottsfield,2010,Age & Gender,Men+,100 years and over,2021,0,Métis Ward
Albany,3460,Age & Gender,Men+,0 to 4 years,2021,85,Anirniq Ward
Albany,3460,Age & Gender,Men+,0 to 14 years,2021,200,Anirniq Ward
Albany,3460,Age & Gender,Men+,5 to 9 years,2021,75,Anirniq Ward
Albany,3460,Age & Gender,Men+,10 to 14 years,2021,35,Anirniq Ward
Albany,3460,Age & Gender,Men+,15 to 19 years,2021,45,Anirniq Ward
Albany,3460,Age & Gender,Men+,15 to 64 years,2021,575,Anirniq Ward
Albany,3460,Age & Gender,Men+,20 to 24 years,2021,45,Anirniq Ward
Albany,3460,Age & Gender,Men+,25 to 29 years,2021,70,Anirniq Ward
Albany,3460,Age & Gender,Men+,30 to 34 years,2021,95,Anirniq Ward
Albany,3460,Age & Gender,Men+,35 to 39 years,2021,90,Anirniq Ward
Albany,3460,Age & Gender,Men+,40 to 44 years,2021,70,Anirniq Ward
Albany,3460,Age & Gender,Men+,45 to 49 years,2021,70,Anirniq Ward
Albany,3460,Age & Gender,Men+,50 to 54 years,2021,40,Anirniq Ward
Albany,3460,Age & Gender,Men+,55 to 59 years,2021,25,Anirniq Ward
Albany,3460,Age & Gender,Men+,60 to 64 years,2021,25,Anirniq Ward
Albany,3460,Age & Gender,Men+,65 to 69 years,2021,20,Anirniq Ward
Albany,3460,Age & Gender,Men+,65 years and over,2021,60,Anirniq Ward
Albany,3460,Age & Gender,Men+,70 to 74 years,2021,15,Anirniq Ward
Albany,3460,Age & Gender,Men+,75 to 79 years,2021,15,Anirniq Ward
Albany,3460,Age & Gender,Men+,80 to 84 years,2021,5,Anirniq Ward
Albany,3460,Age & Gender,Men+,85 to 89 years,2021,0,Anirniq Ward
Albany,3460,Age & Gender,Men+,85 years and over,2021,0,Anirniq Ward
