Neighbourhood,Neighbourhood Number,Gender,Characteristic,Year,Value,Ward
Abbottsfield,2010,Men+,Average age of the population,2021,31,Métis Ward
Abbottsfield,2010,Men+,Median age of the population,2021,30.2,Métis Ward
Abbottsfield,2010,Total,Average age of the population,2021,31.2,Métis Ward
Abbottsfield,2010,Total,Median age of the population,2021,30.6,Métis Ward
Abbottsfield,2010,Women+,Average age of the population,2021,31.2,Métis Ward
Abbottsfield,2010,Women+,Median age of the population,2021,31.2,Métis Ward
Albany,3460,Men+,Average age of the population,2021,32.6,Anirniq Ward
Albany,3460,Men+,Median age of the population,2021,33.2,Anirniq Ward
Albany,3460,Total,Average age of the population,2021,33.4,Anirniq Ward
Albany,3460,Total,Median age of the population,2021,33.6,Anirniq Ward
Albany,3460,Women+,Average age of the population,2021,34.1,Anirniq Ward
Albany,3460,Women+,Median age of the population,2021,33.6,Anirniq Ward
Alberta Avenue,1010,Men+,Average age of the population,2021,41,Métis Ward
Alberta Avenue,1010,Men+,Median age of the population,2021,40.4,Métis Ward
Alberta Avenue,1010,Total,Average age of the population,2021,40.6,Métis Ward
Alberta Avenue,1010,Total,Median age of the population,2021,40,Métis Ward
Alberta Avenue,1010,Women+,Average age of the population,2021,40.3,Métis Ward
Alberta Avenue,1010,Women+,Median age of the population,2021,39.6,Métis Ward
Aldergrove,4020,Men+,Average age of the population,2021,37.9,Nakota Isga Ward
Aldergrove,4020,Men+,Median age of the population,2021,36.4,Nakota Isga Ward
Aldergrove,4020,Total,Average age of the population,2021,38.6,Nakota Isga Ward
Aldergrove,4020,Total,Median age of the population,2021,37.6,Nakota Isga Ward
Aldergrove,4020,Women+,Average age of the population,2021,39.2,Nakota Isga Ward
Aldergrove,4020,Women+,Median age of the population,2021,38.4,Nakota Isga Ward
Allard,5458,Men+,Average age of the population,2021,31,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Men+,Median age of the population,2021,32.4,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Total,Average age of the population,2021,31.3,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Total,Median age of the population,2021,32.4,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Women+,Average age of the population,2021,31.7,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Women+,Median age of the population,2021,32.8,Ipiihkoohkanipiaohtsi Ward
Allendale,5010,Men+,Average age of the population,2021,37.3,papastew Ward
Allendale,5010,Men+,Median age of the population,2021,34,papastew Ward
Allendale,5010,Total,Average age of the population,2021,37.7,papastew Ward
Allendale,5010,Total,Median age of the population,2021,33.6,papastew Ward
Allendale,5010,Women+,Average age of the population,2021,38.1,papastew Ward
Allendale,5010,Women+,Median age of the population,2021,33.6,papastew Ward
Ambleside,5505,Men+,Average age of the population,2021,33.7,pihêsiwin Ward
Ambleside,5505,Men+,Median age of the population,2021,35.2,pihêsiwin Ward
Ambleside,5505,Total,Average age of the population,2021,34.4,pihêsiwin Ward
Ambleside,5505,Total,Median age of the population,2021,35.2,pihêsiwin Ward
Ambleside,5505,Women+,Average age of the population,2021,35.2,pihêsiwin Ward
Ambleside,5505,Women+,Median age of the population,2021,35.2,pihêsiwin Ward
Argyll,6010,Men+,Average age of the population,2021,42.8,papastew Ward
Argyll,6010,Men+,Median age of the population,2021,43.6,papastew Ward
Argyll,6010,Total,Average age of the population,2021,43.1,papastew Ward
Argyll,6010,Total,Median age of the population,2021,44,papastew Ward
Argyll,6010,Women+,Average age of the population,2021,43.3,papastew Ward
Argyll,6010,Women+,Median age of the population,2021,44.4,papastew Ward
Aspen Gardens,5020,Men+,Average age of the population,2021,40.7,papastew Ward
Aspen Gardens,5020,Men+,Median age of the population,2021,41.6,papastew Ward
Aspen Gardens,5020,Total,Average age of the population,2021,42.4,papastew Ward
Aspen Gardens,5020,Total,Median age of the population,2021,44.4,papastew Ward
Aspen Gardens,5020,Women+,Average age of the population,2021,44.2,papastew Ward
Aspen Gardens,5020,Women+,Median age of the population,2021,46.4,papastew Ward
Athlone,3010,Men+,Average age of the population,2021,39.9,Anirniq Ward
Athlone,3010,Men+,Median age of the population,2021,40.4,Anirniq Ward
Athlone,3010,Total,Average age of the population,2021,39.9,Anirniq Ward
Athlone,3010,Total,Median age of the population,2021,40,Anirniq Ward
Athlone,3010,Women+,Average age of the population,2021,39.9,Anirniq Ward
Athlone,3010,Women+,Median age of the population,2021,39.6,Anirniq Ward
Avonmore,6020,Men+,Average age of the population,2021,42.6,Métis Ward
Avonmore,6020,Men+,Median age of the population,2021,41.2,Métis Ward
Avonmore,6020,Total,Average age of the population,2021,43,Métis Ward
Avonmore,6020,Total,Median age of the population,2021,41.6,Métis Ward
Avonmore,6020,Women+,Average age of the population,2021,43.4,Métis Ward
Avonmore,6020,Women+,Median age of the population,2021,41.6,Métis Ward
Balwin,2020,Men+,Average age of the population,2021,37.5,tastawiyiniwak Ward
Balwin,2020,Men+,Median age of the population,2021,36.4,tastawiyiniwak Ward
Balwin,2020,Total,Average age of the population,2021,38.3,tastawiyiniwak Ward
Balwin,2020,Total,Median age of the population,2021,37.2,tastawiyiniwak Ward
Balwin,2020,Women+,Average age of the population,2021,39.1,tastawiyiniwak Ward
Balwin,2020,Women+,Median age of the population,2021,38,tastawiyiniwak Ward
Bannerman,2030,Men+,Average age of the population,2021,38.3,Dene Ward
Bannerman,2030,Men+,Median age of the population,2021,36.8,Dene Ward
Bannerman,2030,Total,Average age of the population,2021,39.1,Dene Ward
Bannerman,2030,Total,Median age of the population,2021,38,Dene Ward
Bannerman,2030,Women+,Average age of the population,2021,39.9,Dene Ward
Bannerman,2030,Women+,Median age of the population,2021,39.6,Dene Ward
Baranow,3020,Men+,Average age of the population,2021,35.4,Anirniq Ward
Baranow,3020,Men+,Median age of the population,2021,35.2,Anirniq Ward
Baranow,3020,Total,Average age of the population,2021,37.2,Anirniq Ward
Baranow,3020,Total,Median age of the population,2021,35.6,Anirniq Ward
Baranow,3020,Women+,Average age of the population,2021,38.6,Anirniq Ward
Baranow,3020,Women+,Median age of the population,2021,36,Anirniq Ward
Baturyn,3030,Men+,Average age of the population,2021,39.2,tastawiyiniwak Ward
Baturyn,3030,Men+,Median age of the population,2021,38.4,tastawiyiniwak Ward
Baturyn,3030,Total,Average age of the population,2021,39.6,tastawiyiniwak Ward
Baturyn,3030,Total,Median age of the population,2021,38.8,tastawiyiniwak Ward
Baturyn,3030,Women+,Average age of the population,2021,39.9,tastawiyiniwak Ward
Baturyn,3030,Women+,Median age of the population,2021,39.2,tastawiyiniwak Ward
Beacon Heights,2040,Men+,Average age of the population,2021,42,Métis Ward
Beacon Heights,2040,Men+,Median age of the population,2021,42,Métis Ward
Beacon Heights,2040,Total,Average age of the population,2021,42.7,Métis Ward
Beacon Heights,2040,Total,Median age of the population,2021,43.6,Métis Ward
Beacon Heights,2040,Women+,Average age of the population,2021,43.5,Métis Ward
Beacon Heights,2040,Women+,Median age of the population,2021,44.8,Métis Ward
