Neighbourhood,Neighbourhood Number,Gender,Question Type,Characteristic,Year,Value,Ward
Abbottsfield,2010,Men+,Citizenship,Canadian citizens,2021,725,Métis Ward
Abbottsfield,2010,Men+,Citizenship,Canadian citizens aged 18 and over,2021,510,Métis Ward
Abbottsfield,2010,Men+,Citizenship,Canadian citizens aged under 18,2021,210,Métis Ward
Abbottsfield,2010,Men+,Citizenship,Not Canadian citizens,2021,135,Métis Ward
Abbottsfield,2010,Total,Citizenship,Canadian citizens,2021,1475,Métis Ward
Abbottsfield,2010,Total,Citizenship,Canadian citizens aged 18 and over,2021,995,Métis Ward
Abbottsfield,2010,Total,Citizenship,Canadian citizens aged under 18,2021,480,Métis Ward
Abbottsfield,2010,Total,Citizenship,Not Canadian citizens,2021,290,Métis Ward
Abbottsfield,2010,Women+,Citizenship,Canadian citizens,2021,755,Métis Ward
Abbottsfield,2010,Women+,Citizenship,Canadian citizens aged 18 and over,2021,490,Métis Ward
Abbottsfield,2010,Women+,Citizenship,Canadian citizens aged under 18,2021,265,Métis Ward
Abbottsfield,2010,Women+,Citizenship,Not Canadian citizens,2021,150,Métis Ward
Albany,3460,Men+,Citizenship,Canadian citizens,2021,785,Anirniq Ward
Albany,3460,Men+,Citizenship,Canadian citizens aged 18 and over,2021,550,Anirniq Ward
Albany,3460,Men+,Citizenship,Canadian citizens aged under 18,2021,235,Anirniq Ward
Albany,3460,Men+,Citizenship,Not Canadian citizens,2021,45,Anirniq Ward
Albany,3460,Total,Citizenship,Canadian citizens,2021,1545,Anirniq Ward
Albany,3460,Total,Citizenship,Canadian citizens aged 18 and over,2021,1130,Anirniq Ward
Albany,3460,Total,Citizenship,Canadian citizens aged under 18,2021,415,Anirniq Ward
Albany,3460,Total,Citizenship,Not Canadian citizens,2021,105,Anirniq Ward
Albany,3460,Women+,Citizenship,Canadian citizens,2021,760,Anirniq Ward
Albany,3460,Women+,Citizenship,Canadian citizens aged 18 and over,2021,575,Anirniq Ward
Albany,3460,Women+,Citizenship,Canadian citizens aged under 18,2021,180,Anirniq Ward
Albany,3460,Women+,Citizenship,Not Canadian citizens,2021,60,Anirniq Ward
Alberta Avenue,1010,Men+,Citizenship,Canadian citizens,2021,2990,Métis Ward
Alberta Avenue,1010,Men+,Citizenship,Canadian citizens aged 18 and over,2021,2535,Métis Ward
Alberta Avenue,1010,Men+,Citizenship,Canadian citizens aged under 18,2021,455,Métis Ward
Alberta Avenue,1010,Men+,Citizenship,Not Canadian citizens,2021,365,Métis Ward
Alberta Avenue,1010,Total,Citizenship,Canadian citizens,2021,5635,Métis Ward
Alberta Avenue,1010,Total,Citizenship,Canadian citizens aged 18 and over,2021,4700,Métis Ward
Alberta Avenue,1010,Total,Citizenship,Canadian citizens aged under 18,2021,940,Métis Ward
Alberta Avenue,1010,Total,Citizenship,Not Canadian citizens,2021,685,Métis Ward
Alberta Avenue,1010,Women+,Citizenship,Canadian citizens,2021,2645,Métis Ward
Alberta Avenue,1010,Women+,Citizenship,Canadian citizens aged 18 and over,2021,2160,Métis Ward
Alberta Avenue,1010,Women+,Citizenship,Canadian citizens aged under 18,2021,485,Métis Ward
Alberta Avenue,1010,Women+,Citizenship,Not Canadian citizens,2021,325,Métis Ward
Aldergrove,4020,Men+,Citizenship,Canadian citizens,2021,2120,Nakota Isga Ward
Aldergrove,4020,Men+,Citizenship,Canadian citizens aged 18 and over,2021,1690,Nakota Isga Ward
Aldergrove,4020,Men+,Citizenship,Canadian citizens aged under 18,2021,425,Nakota Isga Ward
Aldergrove,4020,Men+,Citizenship,Not Canadian citizens,2021,490,Nakota Isga Ward
Aldergrove,4020,Total,Citizenship,Canadian citizens,2021,4290,Nakota Isga Ward
Aldergrove,4020,Total,Citizenship,Canadian citizens aged 18 and over,2021,3400,Nakota Isga Ward
Aldergrove,4020,Total,Citizenship,Canadian citizens aged under 18,2021,895,Nakota Isga Ward
Aldergrove,4020,Total,Citizenship,Not Canadian citizens,2021,970,Nakota Isga Ward
Aldergrove,4020,Women+,Citizenship,Canadian citizens,2021,2170,Nakota Isga Ward
Aldergrove,4020,Women+,Citizenship,Canadian citizens aged 18 and over,2021,1710,Nakota Isga Ward
Aldergrove,4020,Women+,Citizenship,Canadian citizens aged under 18,2021,460,Nakota Isga Ward
Aldergrove,4020,Women+,Citizenship,Not Canadian citizens,2021,475,Nakota Isga Ward
Allard,5458,Men+,Citizenship,Canadian citizens,2021,3240,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Men+,Citizenship,Canadian citizens aged 18 and over,2021,2125,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Men+,Citizenship,Canadian citizens aged under 18,2021,1120,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Men+,Citizenship,Not Canadian citizens,2021,970,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Total,Citizenship,Canadian citizens,2021,6350,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Total,Citizenship,Canadian citizens aged 18 and over,2021,4190,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Total,Citizenship,Canadian citizens aged under 18,2021,2160,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Total,Citizenship,Not Canadian citizens,2021,2085,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Women+,Citizenship,Canadian citizens,2021,3110,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Women+,Citizenship,Canadian citizens aged 18 and over,2021,2060,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Women+,Citizenship,Canadian citizens aged under 18,2021,1050,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Women+,Citizenship,Not Canadian citizens,2021,1115,Ipiihkoohkanipiaohtsi Ward
Allendale,5010,Men+,Citizenship,Canadian citizens,2021,1185,papastew Ward
Allendale,5010,Men+,Citizenship,Canadian citizens aged 18 and over,2021,970,papastew Ward
Allendale,5010,Men+,Citizenship,Canadian citizens aged under 18,2021,210,papastew Ward
Allendale,5010,Men+,Citizenship,Not Canadian citizens,2021,190,papastew Ward
Allendale,5010,Total,Citizenship,Canadian citizens,2021,2485,papastew Ward
Allendale,5010,Total,Citizenship,Canadian citizens aged 18 and over,2021,2100,papastew Ward
Allendale,5010,Total,Citizenship,Canadian citizens aged under 18,2021,385,papastew Ward
