Neighbourhood,Neighbourhood Number,Question Type,Characteristic,Year,Value,Ward
Abbottsfield,2010,Household size,1 person,2021,165,Métis Ward
Abbottsfield,2010,Household size,2 persons,2021,180,Métis Ward
Abbottsfield,2010,Household size,3 persons,2021,130,Métis Ward
Abbottsfield,2010,Household size,4 persons,2021,100,Métis Ward
Abbottsfield,2010,Household size,5 or more persons,2021,75,Métis Ward
Abbottsfield,2010,Household size,Average household size,2021,3,Métis Ward
Abbottsfield,2010,Number of persons in private households,Number of persons in private households,2021,1735,Métis Ward
Abbottsfield,2010,Marital status,Married or living common-law,2021,485,Métis Ward
Abbottsfield,2010,Marital status,Married,2021,355,Métis Ward
Abbottsfield,2010,Marital status,Living common-law,2021,130,Métis Ward
Abbottsfield,2010,Marital status,Living common law - Never married,2021,100,Métis Ward
Abbottsfield,2010,Marital status,Living common law - Separated,2021,5,Métis Ward
Abbottsfield,2010,Marital status,Living common law - Divorced,2021,20,Métis Ward
Abbottsfield,2010,Marital status,Living common law - Widowed,2021,5,Métis Ward
Abbottsfield,2010,Marital status,Not married and not living common-law,2021,735,Métis Ward
Abbottsfield,2010,Marital status,Not married and not living common law - Never married,2021,500,Métis Ward
Abbottsfield,2010,Marital status,Not married and not living common law - Separated,2021,45,Métis Ward
Abbottsfield,2010,Marital status,Not married and not living common law - Divorced,2021,140,Métis Ward
Abbottsfield,2010,Marital status,Not married and not living common law - Widowed,2021,45,Métis Ward
Abbottsfield,2010,Family size,2 persons,2021,175,Métis Ward
Abbottsfield,2010,Family size,3 persons,2021,115,Métis Ward
Abbottsfield,2010,Family size,4 persons,2021,85,Métis Ward
Abbottsfield,2010,Family size,5 or more persons,2021,60,Métis Ward
Abbottsfield,2010,Family size,Average size of census families,2021,3,Métis Ward
Abbottsfield,2010,Family size,Average number of children in census families with children,2021,2,Métis Ward
Abbottsfield,2010,Census families in private households,Total couple families,2021,225,Métis Ward
Abbottsfield,2010,Census families in private households,Married couples,2021,160,Métis Ward
Abbottsfield,2010,Census families in private households,Married couples with children,2021,130,Métis Ward
Abbottsfield,2010,Census families in private households,Married couples without children,2021,35,Métis Ward
Abbottsfield,2010,Census families in private households,Common-law couples,2021,65,Métis Ward
Abbottsfield,2010,Census families in private households,Common-law couples with children,2021,25,Métis Ward
Abbottsfield,2010,Census families in private households,Common-law couples without children,2021,35,Métis Ward
Abbottsfield,2010,Census families in private households,Total one-parent families,2021,205,Métis Ward
Abbottsfield,2010,Census families in private households,One-parent families in which the parent is a woman+,2021,180,Métis Ward
Abbottsfield,2010,Census families in private households,One-parent families in which the parent is a man+,2021,30,Métis Ward
Abbottsfield,2010,Persons in private households,Married spouses or common-law partners,2021,455,Métis Ward
Abbottsfield,2010,Persons in private households,Parents in one-parent families,2021,210,Métis Ward
Abbottsfield,2010,Persons in private households,Children,2021,725,Métis Ward
Abbottsfield,2010,Persons in private households,Children in a two-parent family,2021,350,Métis Ward
Abbottsfield,2010,Persons in private households,Children in a one-parent family,2021,380,Métis Ward
Abbottsfield,2010,Persons in private households,Persons not in census families,2021,345,Métis Ward
Abbottsfield,2010,Persons in private households,Persons not in census families - Living alone,2021,165,Métis Ward
Abbottsfield,2010,Persons in private households,Persons not in census families - Living with other relatives,2021,80,Métis Ward
Abbottsfield,2010,Persons in private households,Persons not in census families - Living with non-relatives only,2021,105,Métis Ward
