Neighbourhood,Neighbourhood Number,Question Type,Gender,Characteristic,Year,Value,Ward
Abbottsfield,2010,Visible Minority,Men+,Arab,2021,45,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Black,2021,255,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Chinese,2021,15,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Filipino,2021,15,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Japanese,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Korean,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Latin American,2021,15,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Multiple visible minorities,2021,25,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Not a visible minority,2021,390,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,South Asian,2021,45,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Southeast Asian,2021,60,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,Total visible minority population,2021,470,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,"Visible minority, n.i.e.",2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Men+,West Asian,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Arab,2021,110,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Black,2021,465,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Chinese,2021,15,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Filipino,2021,60,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Japanese,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Korean,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Latin American,2021,40,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Multiple visible minorities,2021,55,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Not a visible minority,2021,815,Métis Ward
Abbottsfield,2010,Visible Minority,Total,South Asian,2021,65,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Southeast Asian,2021,125,Métis Ward
Abbottsfield,2010,Visible Minority,Total,Total visible minority population,2021,945,Métis Ward
Abbottsfield,2010,Visible Minority,Total,"Visible minority, n.i.e.",2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Total,West Asian,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Arab,2021,70,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Black,2021,215,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Chinese,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Filipino,2021,40,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Japanese,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Korean,2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Latin American,2021,30,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Multiple visible minorities,2021,30,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Not a visible minority,2021,430,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,South Asian,2021,20,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Southeast Asian,2021,70,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,Total visible minority population,2021,480,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,"Visible minority, n.i.e.",2021,0,Métis Ward
Abbottsfield,2010,Visible Minority,Women+,West Asian,2021,0,Métis Ward
Albany,3460,Visible Minority,Men+,Arab,2021,130,Anirniq Ward
Albany,3460,Visible Minority,Men+,Black,2021,135,Anirniq Ward
Albany,3460,Visible Minority,Men+,Chinese,2021,25,Anirniq Ward
Albany,3460,Visible Minority,Men+,Filipino,2021,20,Anirniq Ward
Albany,3460,Visible Minority,Men+,Japanese,2021,0,Anirniq Ward
